id,left,top,right,bottom,SAMPLE_1
"1",24.567485716,54.116489009,24.567685716,54.116689009,
"2",24.567485716,54.116289009,24.567685716,54.116489009,
"3",24.567485716,54.116089009,24.567685716,54.116289009,
"4",24.567485716,54.115889009,24.567685716,54.116089009,
"5",24.567485716,54.115689009,24.567685716,54.115889009,
"6",24.567485716,54.115489009,24.567685716,54.115689009,
"7",24.567485716,54.115289009,24.567685716,54.115489009,
"8",24.567485716,54.115089009,24.567685716,54.115289009,
"9",24.567485716,54.114889009,24.567685716,54.115089009,
"10",24.567485716,54.114689009,24.567685716,54.114889009,
"11",24.567485716,54.114489009,24.567685716,54.114689009,
"12",24.567485716,54.114289009,24.567685716,54.114489009,
"13",24.567485716,54.114089009,24.567685716,54.114289009,
"14",24.567485716,54.113889009,24.567685716,54.114089009,
"15",24.567485716,54.113689009,24.567685716,54.113889009,
"16",24.567485716,54.113489009,24.567685716,54.113689009,
"17",24.567685716,54.116489009,24.567885716,54.116689009,
"18",24.567685716,54.116289009,24.567885716,54.116489009,
"19",24.567685716,54.116089009,24.567885716,54.116289009,0.195065543055534
"20",24.567685716,54.115889009,24.567885716,54.116089009,0.204188480973244
"21",24.567685716,54.115689009,24.567885716,54.115889009,0.264456123113632
"22",24.567685716,54.115489009,24.567885716,54.115689009,0.177964448928833
"23",24.567685716,54.115289009,24.567885716,54.115489009,0.248241201043129
"24",24.567685716,54.115089009,24.567885716,54.115289009,
"25",24.567685716,54.114889009,24.567885716,54.115089009,
"26",24.567685716,54.114689009,24.567885716,54.114889009,
"27",24.567685716,54.114489009,24.567885716,54.114689009,
"28",24.567685716,54.114289009,24.567885716,54.114489009,
"29",24.567685716,54.114089009,24.567885716,54.114289009,
"30",24.567685716,54.113889009,24.567885716,54.114089009,
"31",24.567685716,54.113689009,24.567885716,54.113889009,
"32",24.567685716,54.113489009,24.567885716,54.113689009,
"33",24.567885716,54.116489009,24.568085716,54.116689009,
"34",24.567885716,54.116289009,24.568085716,54.116489009,
"35",24.567885716,54.116089009,24.568085716,54.116289009,0.190375357866287
"36",24.567885716,54.115889009,24.568085716,54.116089009,0.190375357866287
"37",24.567885716,54.115689009,24.568085716,54.115889009,0.276604473590851
"38",24.567885716,54.115489009,24.568085716,54.115689009,0.22446483373642
"39",24.567885716,54.115289009,24.568085716,54.115489009,0.180012285709381
"40",24.567885716,54.115089009,24.568085716,54.115289009,0.226579964160919
"41",24.567885716,54.114889009,24.568085716,54.115089009,0.210696920752525
"42",24.567885716,54.114689009,24.568085716,54.114889009,0.140857025980949
"43",24.567885716,54.114489009,24.568085716,54.114689009,0.175212830305099
"44",24.567885716,54.114289009,24.568085716,54.114489009,0.146913826465607
"45",24.567885716,54.114089009,24.568085716,54.114289009,0.157018542289734
"46",24.567885716,54.113889009,24.568085716,54.114089009,0.150314345955849
"47",24.567885716,54.113689009,24.568085716,54.113889009,
"48",24.567885716,54.113489009,24.568085716,54.113689009,
"49",24.568085716,54.116489009,24.568285716,54.116689009,
"50",24.568085716,54.116289009,24.568285716,54.116489009,
"51",24.568085716,54.116089009,24.568285716,54.116289009,0.190375357866287
"52",24.568085716,54.115889009,24.568285716,54.116089009,0.190375357866287
"53",24.568085716,54.115689009,24.568285716,54.115889009,0.276604473590851
"54",24.568085716,54.115489009,24.568285716,54.115689009,0.22446483373642
"55",24.568085716,54.115289009,24.568285716,54.115489009,0.180012285709381
"56",24.568085716,54.115089009,24.568285716,54.115289009,0.226579964160919
"57",24.568085716,54.114889009,24.568285716,54.115089009,0.210696920752525
"58",24.568085716,54.114689009,24.568285716,54.114889009,0.140857025980949
"59",24.568085716,54.114489009,24.568285716,54.114689009,0.175212830305099
"60",24.568085716,54.114289009,24.568285716,54.114489009,0.146913826465607
"61",24.568085716,54.114089009,24.568285716,54.114289009,0.157018542289734
"62",24.568085716,54.113889009,24.568285716,54.114089009,0.150314345955849
"63",24.568085716,54.113689009,24.568285716,54.113889009,
"64",24.568085716,54.113489009,24.568285716,54.113689009,
"65",24.568285716,54.116489009,24.568485716,54.116689009,
"66",24.568285716,54.116289009,24.568485716,54.116489009,0.219627872109413
"67",24.568285716,54.116089009,24.568485716,54.116289009,0.20329025387764
"68",24.568285716,54.115889009,24.568485716,54.116089009,0.22188076376915
"69",24.568285716,54.115689009,24.568485716,54.115889009,0.237823605537415
"70",24.568285716,54.115489009,24.568485716,54.115689009,0.260780274868011
"71",24.568285716,54.115289009,24.568485716,54.115489009,0.189432993531227
"72",24.568285716,54.115089009,24.568485716,54.115289009,0.213034629821777
"73",24.568285716,54.114889009,24.568485716,54.115089009,0.165436893701553
"74",24.568285716,54.114689009,24.568485716,54.114889009,0.169170737266541
"75",24.568285716,54.114489009,24.568485716,54.114689009,0.207562193274498
"76",24.568285716,54.114289009,24.568485716,54.114489009,0.239471510052681
"77",24.568285716,54.114089009,24.568485716,54.114289009,0.251259326934814
"78",24.568285716,54.113889009,24.568485716,54.114089009,0.245136186480522
"79",24.568285716,54.113689009,24.568485716,54.113889009,
"80",24.568285716,54.113489009,24.568485716,54.113689009,
"81",24.568485716,54.116489009,24.568685716,54.116689009,
"82",24.568485716,54.116289009,24.568685716,54.116489009,0.202044993638992
"83",24.568485716,54.116089009,24.568685716,54.116289009,0.227991878986359
"84",24.568485716,54.115889009,24.568685716,54.116089009,0.229398667812347
"85",24.568485716,54.115689009,24.568685716,54.115889009,0.231502592563629
"86",24.568485716,54.115489009,24.568685716,54.115689009,0.187449067831039
"87",24.568485716,54.115289009,24.568685716,54.115489009,0.168478265404701
"88",24.568485716,54.115089009,24.568685716,54.115289009,0.176470592617989
"89",24.568485716,54.114889009,24.568685716,54.115089009,0.126301839947701
"90",24.568485716,54.114689009,24.568685716,54.114889009,0.193232774734497
"91",24.568485716,54.114489009,24.568685716,54.114689009,0.219062566757202
"92",24.568485716,54.114289009,24.568685716,54.114489009,0.249700352549553
"93",24.568485716,54.114089009,24.568685716,54.114289009,0.245152950286865
"94",24.568485716,54.113889009,24.568685716,54.114089009,
"95",24.568485716,54.113689009,24.568685716,54.113889009,
"96",24.568485716,54.113489009,24.568685716,54.113689009,
"97",24.568685716,54.116489009,24.568885716,54.116689009,
"98",24.568685716,54.116289009,24.568885716,54.116489009,0.202044993638992
"99",24.568685716,54.116089009,24.568885716,54.116289009,0.227991878986359
"100",24.568685716,54.115889009,24.568885716,54.116089009,0.229398667812347
"101",24.568685716,54.115689009,24.568885716,54.115889009,0.231502592563629
"102",24.568685716,54.115489009,24.568885716,54.115689009,0.187449067831039
"103",24.568685716,54.115289009,24.568885716,54.115489009,0.168478265404701
"104",24.568685716,54.115089009,24.568885716,54.115289009,0.176470592617989
"105",24.568685716,54.114889009,24.568885716,54.115089009,0.126301839947701
"106",24.568685716,54.114689009,24.568885716,54.114889009,0.193232774734497
"107",24.568685716,54.114489009,24.568885716,54.114689009,0.219062566757202
"108",24.568685716,54.114289009,24.568885716,54.114489009,0.249700352549553
"109",24.568685716,54.114089009,24.568885716,54.114289009,0.245152950286865
"110",24.568685716,54.113889009,24.568885716,54.114089009,
"111",24.568685716,54.113689009,24.568885716,54.113889009,
"112",24.568685716,54.113489009,24.568885716,54.113689009,
"113",24.568885716,54.116489009,24.569085716,54.116689009,
"114",24.568885716,54.116289009,24.569085716,54.116489009,0.216416493058205
"115",24.568885716,54.116089009,24.569085716,54.116289009,0.234996974468231
"116",24.568885716,54.115889009,24.569085716,54.116089009,0.215787217020988
"117",24.568885716,54.115689009,24.569085716,54.115889009,0.170906350016594
"118",24.568885716,54.115489009,24.569085716,54.115689009,0.22716249525547
"119",24.568885716,54.115289009,24.569085716,54.115489009,0.128099948167801
"120",24.568885716,54.115089009,24.569085716,54.115289009,0.140601500868797
"121",24.568885716,54.114889009,24.569085716,54.115089009,0.124761544167995
"122",24.568885716,54.114689009,24.569085716,54.114889009,0.173004597425461
"123",24.568885716,54.114489009,24.569085716,54.114689009,0.198200047016144
"124",24.568885716,54.114289009,24.569085716,54.114489009,0.235945656895638
"125",24.568885716,54.114089009,24.569085716,54.114289009,
"126",24.568885716,54.113889009,24.569085716,54.114089009,
"127",24.568885716,54.113689009,24.569085716,54.113889009,
"128",24.568885716,54.113489009,24.569085716,54.113689009,
"129",24.569085716,54.116489009,24.569285716,54.116689009,
"130",24.569085716,54.116289009,24.569285716,54.116489009,0.205776169896126
"131",24.569085716,54.116089009,24.569285716,54.116289009,0.229602292180061
"132",24.569085716,54.115889009,24.569285716,54.116089009,0.222510471940041
"133",24.569085716,54.115689009,24.569285716,54.115889009,0.145471528172493
"134",24.569085716,54.115489009,24.569285716,54.115689009,0.189662024378777
"135",24.569085716,54.115289009,24.569285716,54.115489009,0.121859766542912
"136",24.569085716,54.115089009,24.569285716,54.115289009,0.132570788264275
"137",24.569085716,54.114889009,24.569285716,54.115089009,0.180873990058899
"138",24.569085716,54.114689009,24.569285716,54.114889009,0.186413899064064
"139",24.569085716,54.114489009,24.569285716,54.114689009,0.19028340280056
"140",24.569085716,54.114289009,24.569285716,54.114489009,0.208633095026016
"141",24.569085716,54.114089009,24.569285716,54.114289009,
"142",24.569085716,54.113889009,24.569285716,54.114089009,
"143",24.569085716,54.113689009,24.569285716,54.113889009,
"144",24.569085716,54.113489009,24.569285716,54.113689009,
"145",24.569285716,54.116489009,24.569485716,54.116689009,
"146",24.569285716,54.116289009,24.569485716,54.116489009,0.210596531629562
"147",24.569285716,54.116089009,24.569485716,54.116289009,0.229602292180061
"148",24.569285716,54.115889009,24.569485716,54.116089009,0.222510471940041
"149",24.569285716,54.115689009,24.569485716,54.115889009,0.155288815498352
"150",24.569285716,54.115489009,24.569485716,54.115689009,0.166101694107056
"151",24.569285716,54.115289009,24.569485716,54.115489009,0.134294390678406
"152",24.569285716,54.115089009,24.569485716,54.115289009,0.130483686923981
"153",24.569285716,54.114889009,24.569485716,54.115089009,0.175995379686356
"154",24.569285716,54.114689009,24.569485716,54.114889009,0.183333337306976
"155",24.569285716,54.114489009,24.569485716,54.114689009,0.183333337306976
"156",24.569285716,54.114289009,24.569485716,54.114489009,0.260834008455276
"157",24.569285716,54.114089009,24.569485716,54.114289009,
"158",24.569285716,54.113889009,24.569485716,54.114089009,
"159",24.569285716,54.113689009,24.569485716,54.113889009,
"160",24.569285716,54.113489009,24.569485716,54.113689009,
"161",24.569485716,54.116489009,24.569685716,54.116689009,
"162",24.569485716,54.116289009,24.569685716,54.116489009,0.210596531629562
"163",24.569485716,54.116089009,24.569685716,54.116289009,0.226000860333443
"164",24.569485716,54.115889009,24.569685716,54.116089009,0.199217990040779
"165",24.569485716,54.115689009,24.569685716,54.115889009,0.157914698123932
"166",24.569485716,54.115489009,24.569685716,54.115689009,0.166885673999786
"167",24.569485716,54.115289009,24.569685716,54.115489009,0.142804428935051
"168",24.569485716,54.115089009,24.569685716,54.115289009,0.118755720555782
"169",24.569485716,54.114889009,24.569685716,54.115089009,0.20656256377697
"170",24.569485716,54.114689009,24.569685716,54.114889009,0.222842961549759
"171",24.569485716,54.114489009,24.569685716,54.114689009,0.221678897738457
"172",24.569485716,54.114289009,24.569685716,54.114489009,0.251118451356888
"173",24.569485716,54.114089009,24.569685716,54.114289009,
"174",24.569485716,54.113889009,24.569685716,54.114089009,
"175",24.569485716,54.113689009,24.569685716,54.113889009,
"176",24.569485716,54.113489009,24.569685716,54.113689009,
"177",24.569685716,54.116489009,24.569885716,54.116689009,
"178",24.569685716,54.116289009,24.569885716,54.116489009,0.251717686653137
"179",24.569685716,54.116089009,24.569885716,54.116289009,0.231574356555939
"180",24.569685716,54.115889009,24.569885716,54.116089009,0.207674950361252
"181",24.569685716,54.115689009,24.569885716,54.115889009,0.154296875
"182",24.569685716,54.115489009,24.569885716,54.115689009,0.171725749969482
"183",24.569685716,54.115289009,24.569885716,54.115489009,0.13475176692009
"184",24.569685716,54.115089009,24.569885716,54.115289009,0.156494528055191
"185",24.569685716,54.114889009,24.569885716,54.115089009,0.194871798157692
"186",24.569685716,54.114689009,24.569885716,54.114889009,0.225352108478546
"187",24.569685716,54.114489009,24.569885716,54.114689009,0.229252263903618
"188",24.569685716,54.114289009,24.569885716,54.114489009,0.27637591958046
"189",24.569685716,54.114089009,24.569885716,54.114289009,0.303876608610153
"190",24.569685716,54.113889009,24.569885716,54.114089009,
"191",24.569685716,54.113689009,24.569885716,54.113889009,
"192",24.569685716,54.113489009,24.569885716,54.113689009,
"193",24.569885716,54.116489009,24.570085716,54.116689009,
"194",24.569885716,54.116289009,24.570085716,54.116489009,
"195",24.569885716,54.116089009,24.570085716,54.116289009,
"196",24.569885716,54.115889009,24.570085716,54.116089009,
"197",24.569885716,54.115689009,24.570085716,54.115889009,
"198",24.569885716,54.115489009,24.570085716,54.115689009,
"199",24.569885716,54.115289009,24.570085716,54.115489009,0.16316831111908
"200",24.569885716,54.115089009,24.570085716,54.115289009,0.208714604377747
"201",24.569885716,54.114889009,24.570085716,54.115089009,0.244489386677742
"202",24.569885716,54.114689009,24.570085716,54.114889009,0.242622956633568
"203",24.569885716,54.114489009,24.570085716,54.114689009,0.229252263903618
"204",24.569885716,54.114289009,24.570085716,54.114489009,0.232032030820847
"205",24.569885716,54.114089009,24.570085716,54.114289009,0.279654026031494
"206",24.569885716,54.113889009,24.570085716,54.114089009,0.273660451173782
"207",24.569885716,54.113689009,24.570085716,54.113889009,0.243897259235382
"208",24.569885716,54.113489009,24.570085716,54.113689009,
"209",24.570085716,54.116489009,24.570285716,54.116689009,
"210",24.570085716,54.116289009,24.570285716,54.116489009,
"211",24.570085716,54.116089009,24.570285716,54.116289009,
"212",24.570085716,54.115889009,24.570285716,54.116089009,
"213",24.570085716,54.115689009,24.570285716,54.115889009,
"214",24.570085716,54.115489009,24.570285716,54.115689009,
"215",24.570085716,54.115289009,24.570285716,54.115489009,
"216",24.570085716,54.115089009,24.570285716,54.115289009,
"217",24.570085716,54.114889009,24.570285716,54.115089009,
"218",24.570085716,54.114689009,24.570285716,54.114889009,0.242622956633568
"219",24.570085716,54.114489009,24.570285716,54.114689009,0.233278289437294
"220",24.570085716,54.114289009,24.570285716,54.114489009,0.230524003505707
"221",24.570085716,54.114089009,24.570285716,54.114289009,0.291561186313629
"222",24.570085716,54.113889009,24.570285716,54.114089009,0.293546438217163
"223",24.570085716,54.113689009,24.570285716,54.113889009,0.24873711168766
"224",24.570085716,54.113489009,24.570285716,54.113689009,
